size,latency,mode,scenario,wall_s,bytes,verify
medium,100ms,tar-inc,change,0.989,1095680,OK
large,0ms,rsync,cold,3.947,298088385,OK
large,0ms,rsync-z,cold,1.677,37521336,OK
large,0ms,tar,cold,1.118,312309760,OK
large,0ms,tar-gz,cold,6.103,51622664,OK
large,0ms,tar-zstd,cold,10.019,40609999,OK
large,0ms,tar-inc,cold,8.326,313763840,OK
large,0ms,rsync,noop,0.286,408460,OK
large,0ms,rsync,change,1.364,409043,OK
large,0ms,rsync-z,noop,0.280,408460,OK
large,0ms,rsync-z,change,1.280,408852,OK
large,0ms,tar,noop,9.073,312309760,OK
large,0ms,tar,change,11.901,312309760,STALE
large,0ms,tar-gz,noop,9.292,51622664,OK
large,0ms,tar-gz,change,12.594,51623767,STALE
large,0ms,tar-zstd,noop,9.198,40609999,OK
large,0ms,tar-zstd,change,13.545,40588675,STALE
large,0ms,tar-inc,noop,0.692,2836480,OK
large,0ms,tar-inc,change,0.549,2836480,OK
large,50ms,rsync,cold,8.781,298088401,OK
large,50ms,rsync-z,cold,2.793,37521684,OK
large,50ms,tar,cold,19.225,312309760,OK
large,50ms,tar-gz,cold,5.440,51622664,OK
large,50ms,tar-zstd,cold,2.201,40609999,OK
large,50ms,tar-inc,cold,10.274,313763840,OK
large,50ms,rsync,noop,1.748,408460,OK
large,50ms,rsync,change,1.809,409043,OK
large,50ms,rsync-z,noop,2.295,408460,OK
large,50ms,rsync-z,change,2.660,408853,OK
large,50ms,tar,noop,10.042,312309760,OK
large,50ms,tar,change,9.715,312309760,STALE
large,50ms,tar-gz,noop,5.704,51622664,OK
large,50ms,tar-gz,change,10.395,51624380,STALE
large,50ms,tar-zstd,noop,6.005,40609999,OK
large,50ms,tar-zstd,change,12.987,40588637,STALE
large,50ms,tar-inc,noop,1.025,2836480,OK
large,50ms,tar-inc,change,0.753,2836480,OK
